Weapon,Hash,Perks,PerkHashes,Tags,Notes,Name,Description
"Peculiar Charm","3620277039","Smallbore | Kinetic Tremors | Extended Mag | Extended Mag | Attrition Orbs | Shoot to Loot | Smallbore | Shoot to Loot | Hand-Laid Stock | Kinetic Tremors | Attrition Orbs | Hand-Laid Stock","1482024992|1549370717|1890997540|2420895100|243981275|2840833776|2860123632|3700496672|3845057226|3891536761|984655331|990298390","GodPVE","","Peculiar Charm PVE God Roll","Barrel: Smallbore
Magazine: Extended Mag
Perk 1: Shoot to Loot or Attrition Orbs
Perk 2: Kinetic Tremors
Masterwork: Stability
Origin Trait: Hand-Laid Stock"
"Synanceia","1823308496","Elemental Honing | Swordmaster's Guard | Eager Edge | Relentless Strikes | Eager Edge | Attrition Orbs | Sharp Harvest | Swordmaster's Guard | Surrounded | Tenacity | Relentless Strikes | Sharp Harvest | Tenacity | Elemental Honing | Tempered Edge | Surrounded | Tempered Edge | Attrition Orbs","1089671869|125241418|1618208178|1749209109|2077819806|243981275|2581144697|269888150|3708227201|3911709647|4085959009|4132187021|483923727|496047945|766579919|781192741|938542991|984655331","GodPVE","","Synanceia PVE God Roll","Blade: Tempered Edge
Guard: Swordmasters Guard
Perk 1: Relentless Strikes (also good: Attrition Orbs, Sharp Harvest)
Perk 2: Eager Edge or Elemental Honing (also good: Surrounded)
Masterwork: Impact
Origin Trait: Tenacity"
"Jurisprudent","4090134063","Steady Rounds | Headstone | Headstone | Rimestealer | Rapid Hit | Rimestealer | Rapid Hit | Explosive Payload | Arrowhead Brake | Steady Rounds | Bray Legacy | Bray Legacy | Explosive Payload | Arrowhead Brake","1002206008|1171887445|124408337|1955165503|247725512|2617553311|2938480696|3038247973|3048246338|3177308360|4139916815|4232410959|64866129|839105230","GodPVE","","Jurisprudent PVE God Roll","Barrel: Arrowhead Brake
Magazine: Steady Rounds
Perk 1: Rimestealer (also good: Rapid Hit)
Perk 2: Headstone (also good: Explosive Payload)
Masterwork: Reload Speed or Stability
Origin Trait: Bray Legacy"
"Jurisprudent","4090134063","Lone Wolf | Rapid Hit | Lone Wolf | Rapid Hit | Explosive Payload | Arrowhead Brake | Accurized Rounds | Accurized Rounds | Bray Legacy | Bray Legacy | Explosive Payload | Arrowhead Brake","2073244114|247725512|2579169598|2938480696|3038247973|3048246338|3142289711|3267421167|4139916815|4232410959|64866129|839105230","GodPVP","","Jurisprudent PVP God Roll","Barrel: Arrowhead Brake
Magazine: Accurized Rounds
Perk 1: Rapid Hit (also good: Lone Wolf)
Perk 2: Explosive Payload
Masterwork: Stability
Origin Trait: Bray Legacy"
"Bitter End","954563454","Trickle Charge | Fluted Barrel | Fluted Barrel | Light Heatsink | Attrition Orbs | Rolling Storm | Killing Tally | Rolling Storm | Jolting Feedback | Light Heatsink | Trickle Charge | Killing Tally | Jolting Feedback | Attrition Orbs","1115162408|1124871858|1840239774|1946186791|243981275|2633604463|2896748467|3218042543|3966416502|4273542183|511499160|557221067|717070634|984655331","GodPVE","","Bitter End PVE God Roll","Barrel: Fluted Barrel
Magazine: Light Heatsink
Perk 1: Attrition Orbs (also good: Trickle Charge)
Perk 2: Jolting Feedback (also good: Killing Tally, Killing Storm)
Masterwork: Cooling Efficiency
Origin Trait: Imperial Allegiance"
"Bitter End","954563454","Delicate Tuning | Smallbore | Projection Fuse | Smallbore | Killing Tally | Projection Fuse | Delicate Tuning | Killing Tally","1341464476|1482024992|2800182654|2860123632|2896748467|2969185026|307683764|557221067","GodPVP","","Bitter End PVP God Roll","Barrel: Smallbore
Magazine: Projection Fuse
Perk 1: Delicate Tuning
Perk 2: Killing Tally
Masterwork: Range
Origin Trait: Imperial Allegiance"
"High Tyrant","2873508409","Fluted Barrel | Delicate Tuning | Demoralize | Fluted Barrel | Destabilizing Rounds | Light Heatsink | Destabilizing Rounds | Repulsor Brace | Demoralize | Frenzy | Delicate Tuning | Frenzy | Meganeura | Light Heatsink | Meganeura | Repulsor Brace","1124871858|1341464476|1464081238|1840239774|1926441324|1946186791|2048641572|2541826827|2813913866|3007133316|307683764|4104185692|4196156997|4273542183|657025441|776531651","GodPVE","","High Tyrant PVE God Roll","Barrel: Fluted Barrel
Magazine: Light Heatsink
Perk 1: Destabilizing Rounds (also good: Repulsor Brace, Delicate Tuning)
Perk 2: Demoralize (also good: Meganeura, Frenzy)
Masterwork: Cooling Efficiency
Origin Trait: Imperial Allegiance"
"High Tyrant","2873508409","Rapid Hit | Projection Fuse | Rapid Hit | Master of Arms | Projection Fuse | Arrowhead Brake | Master of Arms | Headseeker | Headseeker | Arrowhead Brake","247725512|2800182654|2938480696|2963273944|2969185026|3048246338|3081867624|4045335048|460017080|839105230","GodPVP","","High Tyrant PVP God Roll","Barrel: Arrowhead Brake
Magazine: Projection Fuse
Perk 1: Rapid Hit
Perk 2: Headseeker (also good: Master of Arms)
Masterwork: Range
Origin Trait: Imperial Allegiance"
"Mistral Lift","766122634","Fluted Barrel | Reconstruction | Liquid Coils | Fluted Barrel | Liquid Coils | Envious Arsenal | Bait and Switch | Precision Instrument | Bait and Switch | Envious Arsenal | Veist Stinger | Reconstruction | Veist Stinger | Precision Instrument","1124871858|1523832109|1687452232|1840239774|2777563320|2817499044|3078487919|332733060|3744057135|3987942396|3988215619|461595545|54024075|555281244","GodPVE","","Mistral Lift PVE God Roll","Barrel: Fluted Barrel
Battery: Liquid Coils or Accelerated Coils
Perk 1: Envious Arsenal (also good: Reconstruction)
Perk 2: Bait and Switch (also good: Precision Instrument)
Masterwork: Charge Time
Origin Trait: Veist Stinger"
"Gizmo Weft","4069880346","Elemental Honing | Air Trigger | Slideshot | High-Velocity Rounds | Contending Cascade | Envious Arsenal | High-Velocity Rounds | Bait and Switch | Slideshot | Aggregate Charge | Quick Launch | Air Trigger | Quick Launch | Bait and Switch | Aggregate Charge | Envious Arsenal | Elemental Honing | Contending Cascade","1089671869|1421772400|191144788|2108812838|2691822036|2817499044|2822142346|3078487919|3161816588|3192447905|3250572790|3291427296|3525010810|3744057135|3764420437|3987942396|496047945|934928524","GodPVE","","Gizmo Weft PVE God Roll","Barrel: Quick Launch
Magazine: High-Velocity Rounds
Perk 1: Envious Arsenal (also good: Slideshot, Air Trigger)
Perk 2: Elemental Honing (also good: Aggregate Charge, Bait and Switch)
Masterwork: Handling
Origin Trait: Contending Cascade"
